feature,dtype,non_null_count,missing_count,missing_pct,unique_count,mean,median,minimum,maximum
fsa,category,262944,0,0.0,6,,,,
timestamp,datetime64[ns],262944,0,0.0,43824,,,,
total_consumption_kwh,float64,262944,0,0.0,157393,8792.71702187538,8111.4,1377.7,33712.2
reported_premise_count,Int64,262944,0,0.0,1269,8714.129282280637,8674.0,5803,12120
source_segment_count,Int8,262944,0,0.0,6,3.979786570524522,4.0,2,7
customer_type_count,Int8,262944,0,0.0,2,1.671907326274796,2.0,1,2
price_plan_count,Int8,262944,0,0.0,3,2.827214159668979,3.0,2,4
timestamp_utc,"datetime64[ns, UTC]",262944,0,0.0,43824,,,,
timestamp_toronto,"datetime64[ns, UTC]",262944,0,0.0,43824,,,,
date,datetime64[ns],262944,0,0.0,1826,,,,
year,Int16,262944,0,0.0,5,2023.000547645126,2023.0,2021,2025
quarter,Int8,262944,0,0.0,4,2.508762322015334,3.0,1,4
month,Int8,262944,0,0.0,12,6.52354874041621,7.0,1,12
week_of_year,Int8,262944,0,0.0,53,26.501642935377877,26.5,1,53
day_of_year,Int16,262944,0,0.0,366,183.10021905805039,183.0,1,366
day_of_month,Int8,262944,0,0.0,31,15.727820372398686,16.0,1,31
hour,Int8,262944,0,0.0,24,11.5,11.5,0,23
hour_group,category,262944,0,0.0,4,,,,
weekday,Int8,262944,0,0.0,7,3.0,3.0,0,6
is_weekend,Int8,262944,0,0.0,2,0.2858707557502738,0.0,0,1
is_workday,Int8,262944,0,0.0,2,0.6905805038335159,1.0,0,1
is_monday,Int8,262944,0,0.0,2,0.1429353778751369,0.0,0,1
is_friday,Int8,262944,0,0.0,2,0.1429353778751369,0.0,0,1
season,category,262944,0,0.0,4,,,,
is_business_hour,Int8,262944,0,0.0,2,0.29755385177071925,0.0,0,1
is_peak_hour_window,Int8,262944,0,0.0,2,0.375,0.0,0,1
is_month_start,Int8,262944,0,0.0,2,0.03285870755750274,0.0,0,1
is_month_end,Int8,262944,0,0.0,2,0.03285870755750274,0.0,0,1
is_year_start,Int8,262944,0,0.0,2,0.002738225629791895,0.0,0,1
is_year_end,Int8,262944,0,0.0,2,0.002738225629791895,0.0,0,1
is_public_holiday,Int8,262944,0,0.0,2,0.02683461117196057,0.0,0,1
holiday_name,category,262944,0,0.0,14,,,,
is_day_before_holiday,Int8,262944,0,0.0,2,0.02683461117196057,0.0,0,1
is_day_after_holiday,Int8,262944,0,0.0,2,0.02683461117196057,0.0,0,1
days_to_holiday,Int16,262944,0,0.0,77,26.256845564074478,24.5,0,76
days_after_holiday,Int16,262944,0,0.0,77,26.256845564074478,24.5,0,76
is_long_weekend,Int8,262944,0,0.0,2,0.0443592552026287,0.0,0,1
is_daylight_saving_time,Int8,262944,0,0.0,2,0.6515836071558964,1.0,0,1
is_dst_transition_day,Int8,262944,0,0.0,2,0.00547645125958379,0.0,0,1
is_spring_forward_day,Int8,262944,0,0.0,2,0.002738225629791895,0.0,0,1
is_fall_back_day,Int8,262944,0,0.0,2,0.002738225629791895,0.0,0,1
